ID,Settlement,Architectural/Urban Remains,Ethnicity_A1,Ethnicity_A2,Ethnicity_B1,Ethnicity_B2,Ethnicity_C1,Ethnicity_C2,Start Date,End Date,Roman Province 1,Roman Province 2,Legal Status A,Legal Status B,Legal Status C,Via,Conventus,Mint,Excavated,Modern Place,Modern Region,Modern Province,Pleiades URI,IAPH,TM URI,Wikipedia,,,
29,Astigi,,Turdetani,Iberian,Roman republican,Roman,,,-330,640,,Baetica,Colonia Augusta firma,,,,Conventus Astigitanus,FALSO,VERDADERO,Écija,Seville,Andalucía,https://pleiades.stoa.org/places/255996,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i7254&ids=410390116,http://www.trismegistos.org/place/26218,https://es.wikipedia.org/wiki/Astigi,,,
30,Ategua,,Turdetani,Iberian,Roman republican,Roman,,,-330,300,Ulterior,Baetica,Municipium,,,,Conventus Astigitanus,FALSO,VERDADERO,Cortijo de los Castillejos de Teba,Córdoba,Andalucía,https://pleiades.stoa.org/places/265808,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i2768,http://www.trismegistos.org/place/26029,https://es.wikipedia.org/wiki/Ategua,,,
31,Aurgi,,Iberian,Iberian,Roman republican,Roman,,,-330,640,,Baetica,Municipium Flavium,,,,Conventus Astigitanus,FALSO,VERDADERO,Jaen,Jaen,Andalucía,https://pleiades.stoa.org/places/265810,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i5861,http://www.trismegistos.org/place/19965,https://es.wikipedia.org/wiki/Historia_de_Ja%C3%A9n,,,
32,Axati,,Phoenician,Phoenician,Iberian,Iberian,Roman republican,Roman,-30,300,,Baetica,Municipium Flavium,,,,Conventus Hispalensis,FALSO,,Lora del Río,Sevilla,Andalucía,https://pleiades.stoa.org/places/256002,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i7194,http://www.trismegistos.org/place/26229,https://es.wikipedia.org/wiki/Lora_del_R%C3%ADo,,,
33,Baedro,,,,,,,,-30,300,,Baetica,Municipium,,,,Conventus Cordubensis,FALSO,,Belalcázar,Córdoba,Andalucía,https://pleiades.stoa.org/places/256004,,http://www.trismegistos.org/place/26018,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
34,Baesuri,,,,,,,,-30,640,,Lusitania,Oppida?,,,,Conventus Pacensis,VERDADERO,,Castro Marim,Portugal,Portugal,https://pleiades.stoa.org/places/256008,,http://www.trismegistos.org/place/25812,https://es.wikipedia.org/wiki/Castro_Marim,,,
35,Baicipo (Baesippo),,Turdetani-Turduli,Iberian,Roman republican,Roman,,,-30,640,,Baetica,Stipendiary,,,,Conventus Gaditanus,VERDADERO,VERDADERO,Barbate,Cádiz,Andalucía,https://pleiades.stoa.org/places/256007,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i6799&ids=110070011,http://www.trismegistos.org/place/26007,https://es.wikipedia.org/wiki/Baesippo,,,
36,Bailo (Baelo Claudia),Rectilinear streets; macellum; baths; forum; temples; basilica; aqueduct,Punic,Punic,Roman republican,Roman,,,-330,640,,Baetica,Municipium (Claudio),,,,Conventus Gaditanus,VERDADERO,VERDADERO,Bolonia-Tarifa,Cádiz,Andalucía,https://pleiades.stoa.org/places/256005,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i7961&ids=110350037,http://www.trismegistos.org/place/26005,https://es.wikipedia.org/wiki/Baelo_Claudia,,,
37,Balleia,,Turduli,Iberian,Roman republican,Roman,,,,,,Baetica,,,,,,VERDADERO,,,Badajoz,Extremadura,no info,,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
38,Balsa,,Turdetani,Iberian,Roman republican,Roman,,,-30,640,,Lusitania,Stipendiary oppida,,,,Conventus Pacensis,VERDADERO,,Tavira Algarve,Portugal,Algarve,https://pleiades.stoa.org/places/256013,,,https://en.wikipedia.org/wiki/Balsa_(Roman_town),,,
